case,event,startTime,completeTime
0,A,2019/01/10 08:00:00.000,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000,2019/01/10 08:20:00.000
0,B,2019/01/10 08:32:27.084,2019/01/10 08:32:27.084
2,A,2019/01/10 08:40:00.000,2019/01/10 08:40:00.000
1,F,2019/01/10 08:50:51.155,2019/01/10 08:50:51.155
3,A,2019/01/10 09:00:00.000,2019/01/10 09:00:00.000
0,C,2019/01/10 09:02:10.707,2019/01/10 09:02:10.707
2,B,2019/01/10 09:13:27.188,2019/01/10 09:13:27.188
4,A,2019/01/10 09:20:00.000,2019/01/10 09:20:00.000
1,D,2019/01/10 09:20:08.800,2019/01/10 09:20:08.800
3,B,2019/01/10 09:29:43.165,2019/01/10 09:29:43.165
0,A,2019/01/10 09:30:13.898,2019/01/10 09:30:13.898
5,A,2019/01/10 09:40:00.000,2019/01/10 09:40:00.000
2,C,2019/01/10 09:41:26.196,2019/01/10 09:41:26.196
1,E,2019/01/10 09:48:46.698,2019/01/10 09:48:46.698
4,F,2019/01/10 09:54:11.284,2019/01/10 09:54:11.284
6,A,2019/01/10 10:00:00.000,2019/01/10 10:00:00.000
0,B,2019/01/10 10:00:30.758,2019/01/10 10:00:30.758
3,C,2019/01/10 10:03:52.084,2019/01/10 10:03:52.084
5,F,2019/01/10 10:09:55.169,2019/01/10 10:09:55.169
2,A,2019/01/10 10:15:09.359,2019/01/10 10:15:09.359
1,G,2019/01/10 10:15:54.945,2019/01/10 10:15:54.945
7,A,2019/01/10 10:20:00.000,2019/01/10 10:20:00.000
4,D,2019/01/10 10:22:25.038,2019/01/10 10:22:25.038
6,B,2019/01/10 10:23:38.227,2019/01/10 10:23:38.227
3,A,2019/01/10 10:31:44.559,2019/01/10 10:31:44.559
0,C,2019/01/10 10:32:20.922,2019/01/10 10:32:20.922
2,F,2019/01/10 10:39:02.481,2019/01/10 10:39:02.481
8,A,2019/01/10 10:40:00.000,2019/01/10 10:40:00.000
5,D,2019/01/10 10:43:33.824,2019/01/10 10:43:33.824
1,I,2019/01/10 10:44:01.465,2019/01/10 10:44:01.465
7,F,2019/01/10 10:44:51.152,2019/01/10 10:44:51.152
4,E,2019/01/10 10:47:27.427,2019/01/10 10:47:27.427
6,C,2019/01/10 10:55:00.610,2019/01/10 10:55:00.610
9,A,2019/01/10 11:00:00.000,2019/01/10 11:00:00.000
0,A,2019/01/10 11:01:53.004,2019/01/10 11:01:53.004
3,B,2019/01/10 11:03:39.748,2019/01/10 11:03:39.748
5,E,2019/01/10 11:10:37.420,2019/01/10 11:10:37.420
2,D,2019/01/10 11:10:46.374,2019/01/10 11:10:46.374
8,F,2019/01/10 11:11:52.232,2019/01/10 11:11:52.232
4,G,2019/01/10 11:13:26.897,2019/01/10 11:13:26.897
1,J,2019/01/10 11:14:23.777,2019/01/10 11:14:23.777
7,D,2019/01/10 11:14:44.537,2019/01/10 11:14:44.537
10,A,2019/01/10 11:20:00.000,2019/01/10 11:20:00.000
6,A,2019/01/10 11:24:13.963,2019/01/10 11:24:13.963
9,B,2019/01/10 11:29:20.080,2019/01/10 11:29:20.080
2,E,2019/01/10 11:34:29.048,2019/01/10 11:34:29.048
3,C,2019/01/10 11:34:46.895,2019/01/10 11:34:46.895
0,F,2019/01/10 11:35:54.242,2019/01/10 11:35:54.242
11,A,2019/01/10 11:40:00.000,2019/01/10 11:40:00.000
8,D,2019/01/10 11:41:09.845,2019/01/10 11:41:09.845
4,I,2019/01/10 11:42:55.065,2019/01/10 11:42:55.065
5,G,2019/01/10 11:43:03.761,2019/01/10 11:43:03.761
7,E,2019/01/10 11:44:12.208,2019/01/10 11:44:12.208
1,L,2019/01/10 11:49:30.536,2019/01/10 11:49:30.536
6,F,2019/01/10 11:53:26.448,2019/01/10 11:53:26.448
9,C,2019/01/10 11:55:41.749,2019/01/10 11:55:41.749
10,F,2019/01/10 11:58:44.760,2019/01/10 11:58:44.760
12,A,2019/01/10 12:00:00.000,2019/01/10 12:00:00.000
0,D,2019/01/10 12:03:07.185,2019/01/10 12:03:07.185
3,A,2019/01/10 12:03:45.329,2019/01/10 12:03:45.329
2,G,2019/01/10 12:08:42.868,2019/01/10 12:08:42.868
11,F,2019/01/10 12:11:58.171,2019/01/10 12:11:58.171
7,G,2019/01/10 12:14:33.195,2019/01/10 12:14:33.195
5,H,2019/01/10 12:14:39.672,2019/01/10 12:14:39.672
8,E,2019/01/10 12:14:41.211,2019/01/10 12:14:41.211
4,J,2019/01/10 12:16:03.394,2019/01/10 12:16:03.394
1,M,2019/01/10 12:19:38.137,2019/01/10 12:19:38.137
13,A,2019/01/10 12:20:00.000,2019/01/10 12:20:00.000
10,D,2019/01/10 12:22:56.639,2019/01/10 12:22:56.639
6,D,2019/01/10 12:24:56.421,2019/01/10 12:24:56.421
9,A,2019/01/10 12:25:45.575,2019/01/10 12:25:45.575
12,B,2019/01/10 12:28:25.224,2019/01/10 12:28:25.224
3,F,2019/01/10 12:32:09.248,2019/01/10 12:32:09.248
0,E,2019/01/10 12:36:01.049,2019/01/10 12:36:01.049
14,A,2019/01/10 12:40:00.000,2019/01/10 12:40:00.000
13,F,2019/01/10 12:40:46.732,2019/01/10 12:40:46.732
8,G,2019/01/10 12:42:29.258,2019/01/10 12:42:29.258
7,H,2019/01/10 12:43:41.740,2019/01/10 12:43:41.740
2,H,2019/01/10 12:47:21.431,2019/01/10 12:47:21.431
11,D,2019/01/10 12:48:31.917,2019/01/10 12:48:31.917
4,L,2019/01/10 12:50:01.482,2019/01/10 12:50:01.482
6,E,2019/01/10 12:52:00.992,2019/01/10 12:52:00.992
1,O,2019/01/10 12:54:50.658,2019/01/10 12:54:50.658
12,C,2019/01/10 12:57:08.743,2019/01/10 12:57:08.743
10,E,2019/01/10 12:58:16.861,2019/01/10 12:58:16.861
15,A,2019/01/10 13:00:00.000,2019/01/10 13:00:00.000
9,F,2019/01/10 13:00:07.330,2019/01/10 13:00:07.330
3,D,2019/01/10 13:02:20.357,2019/01/10 13:02:20.357
0,G,2019/01/10 13:07:17.226,2019/01/10 13:07:17.226
14,F,2019/01/10 13:07:22.957,2019/01/10 13:07:22.957
13,D,2019/01/10 13:12:50.316,2019/01/10 13:12:50.316
8,I,2019/01/10 13:14:57.998,2019/01/10 13:14:57.998
11,E,2019/01/10 13:19:27.965,2019/01/10 13:19:27.965
16,A,2019/01/10 13:20:00.000,2019/01/10 13:20:00.000
4,M,2019/01/10 13:21:08.646,2019/01/10 13:21:08.646
6,G,2019/01/10 13:24:11.164,2019/01/10 13:24:11.164
15,F,2019/01/10 13:28:43.244,2019/01/10 13:28:43.244
12,A,2019/01/10 13:28:44.379,2019/01/10 13:28:44.379
3,E,2019/01/10 13:30:11.089,2019/01/10 13:30:11.089
10,G,2019/01/10 13:30:46.323,2019/01/10 13:30:46.323
9,D,2019/01/10 13:32:27.305,2019/01/10 13:32:27.305
0,H,2019/01/10 13:35:28.145,2019/01/10 13:35:28.145
8,J,2019/01/10 13:38:30.756,2019/01/10 13:38:30.756
13,E,2019/01/10 13:38:42.761,2019/01/10 13:38:42.761
14,D,2019/01/10 13:39:11.048,2019/01/10 13:39:11.048
17,A,2019/01/10 13:40:00.000,2019/01/10 13:40:00.000
11,G,2019/01/10 13:49:37.979,2019/01/10 13:49:37.979
4,N,2019/01/10 13:51:10.903,2019/01/10 13:51:10.903
16,B,2019/01/10 13:52:46.884,2019/01/10 13:52:46.884
6,I,2019/01/10 13:54:06.715,2019/01/10 13:54:06.715
10,I,2019/01/10 13:57:29.252,2019/01/10 13:57:29.252
12,B,2019/01/10 13:57:50.624,2019/01/10 13:57:50.624
15,D,2019/01/10 13:59:45.177,2019/01/10 13:59:45.177
18,A,2019/01/10 14:00:00.000,2019/01/10 14:00:00.000
3,G,2019/01/10 14:01:24.349,2019/01/10 14:01:24.349
17,B,2019/01/10 14:01:58.126,2019/01/10 14:01:58.126
9,E,2019/01/10 14:03:03.121,2019/01/10 14:03:03.121
8,L,2019/01/10 14:07:29.524,2019/01/10 14:07:29.524
13,G,2019/01/10 14:07:35.667,2019/01/10 14:07:35.667
14,E,2019/01/10 14:07:43.375,2019/01/10 14:07:43.375
11,I,2019/01/10 14:17:23.476,2019/01/10 14:17:23.476
19,A,2019/01/10 14:20:00.000,2019/01/10 14:20:00.000
6,J,2019/01/10 14:21:01.190,2019/01/10 14:21:01.190
12,C,2019/01/10 14:26:09.076,2019/01/10 14:26:09.076
10,J,2019/01/10 14:27:12.809,2019/01/10 14:27:12.809
16,C,2019/01/10 14:27:23.508,2019/01/10 14:27:23.508
18,F,2019/01/10 14:28:38.443,2019/01/10 14:28:38.443
15,E,2019/01/10 14:32:18.735,2019/01/10 14:32:18.735
3,I,2019/01/10 14:33:08.093,2019/01/10 14:33:08.093
9,G,2019/01/10 14:35:27.617,2019/01/10 14:35:27.617
17,C,2019/01/10 14:36:37.781,2019/01/10 14:36:37.781
8,M,2019/01/10 14:38:31.091,2019/01/10 14:38:31.091
14,G,2019/01/10 14:39:00.269,2019/01/10 14:39:00.269
20,A,2019/01/10 14:40:00.000,2019/01/10 14:40:00.000
13,I,2019/01/10 14:42:08.970,2019/01/10 14:42:08.970
11,J,2019/01/10 14:49:32.510,2019/01/10 14:49:32.510
12,A,2019/01/10 14:53:22.314,2019/01/10 14:53:22.314
16,A,2019/01/10 14:55:43.091,2019/01/10 14:55:43.091
6,L,2019/01/10 14:55:51.034,2019/01/10 14:55:51.034
10,L,2019/01/10 14:55:56.284,2019/01/10 14:55:56.284
19,F,2019/01/10 14:57:07.843,2019/01/10 14:57:07.843
18,D,2019/01/10 14:59:10.274,2019/01/10 14:59:10.274
21,A,2019/01/10 15:00:00.000,2019/01/10 15:00:00.000
3,J,2019/01/10 15:01:27.135,2019/01/10 15:01:27.135
15,G,2019/01/10 15:01:38.247,2019/01/10 15:01:38.247
8,N,2019/01/10 15:05:24.674,2019/01/10 15:05:24.674
9,I,2019/01/10 15:05:52.008,2019/01/10 15:05:52.008
17,A,2019/01/10 15:09:05.515,2019/01/10 15:09:05.515
20,B,2019/01/10 15:09:28.263,2019/01/10 15:09:28.263
14,I,2019/01/10 15:13:54.858,2019/01/10 15:13:54.858
13,J,2019/01/10 15:17:04.992,2019/01/10 15:17:04.992
12,F,2019/01/10 15:19:19.737,2019/01/10 15:19:19.737
22,A,2019/01/10 15:20:00.000,2019/01/10 15:20:00.000
11,L,2019/01/10 15:23:12.989,2019/01/10 15:23:12.989
19,D,2019/01/10 15:24:56.929,2019/01/10 15:24:56.929
10,M,2019/01/10 15:27:29.099,2019/01/10 15:27:29.099
16,B,2019/01/10 15:27:36.872,2019/01/10 15:27:36.872
21,F,2019/01/10 15:28:27.717,2019/01/10 15:28:27.717
18,E,2019/01/10 15:28:37.740,2019/01/10 15:28:37.740
6,M,2019/01/10 15:30:06.201,2019/01/10 15:30:06.201
3,L,2019/01/10 15:30:07.280,2019/01/10 15:30:07.280
15,H,2019/01/10 15:31:14.057,2019/01/10 15:31:14.057
9,J,2019/01/10 15:34:28.627,2019/01/10 15:34:28.627
23,A,2019/01/10 15:40:00.000,2019/01/10 15:40:00.000
17,F,2019/01/10 15:40:51.910,2019/01/10 15:40:51.910
20,C,2019/01/10 15:42:53.089,2019/01/10 15:42:53.089
14,J,2019/01/10 15:45:15.885,2019/01/10 15:45:15.885
13,L,2019/01/10 15:47:21.423,2019/01/10 15:47:21.423
22,B,2019/01/10 15:50:34.921,2019/01/10 15:50:34.921
10,N,2019/01/10 15:55:02.540,2019/01/10 15:55:02.540
12,D,2019/01/10 15:56:03.770,2019/01/10 15:56:03.770
16,C,2019/01/10 15:56:24.927,2019/01/10 15:56:24.927
19,E,2019/01/10 15:56:39.783,2019/01/10 15:56:39.783
11,M,2019/01/10 15:57:16.258,2019/01/10 15:57:16.258
6,N,2019/01/10 15:58:36.069,2019/01/10 15:58:36.069
21,D,2019/01/10 15:59:05.587,2019/01/10 15:59:05.587
18,G,2019/01/10 15:59:40.546,2019/01/10 15:59:40.546
24,A,2019/01/10 16:00:00.000,2019/01/10 16:00:00.000
3,M,2019/01/10 16:04:42.167,2019/01/10 16:04:42.167
9,K,2019/01/10 16:05:25.004,2019/01/10 16:05:25.004
23,F,2019/01/10 16:10:37.373,2019/01/10 16:10:37.373
17,D,2019/01/10 16:11:21.173,2019/01/10 16:11:21.173
20,A,2019/01/10 16:13:48.859,2019/01/10 16:13:48.859
13,M,2019/01/10 16:15:49.071,2019/01/10 16:15:49.071
14,K,2019/01/10 16:19:14.195,2019/01/10 16:19:14.195
25,A,2019/01/10 16:20:00.000,2019/01/10 16:20:00.000
22,C,2019/01/10 16:24:53.600,2019/01/10 16:24:53.600
19,G,2019/01/10 16:26:37.348,2019/01/10 16:26:37.348
21,E,2019/01/10 16:26:49.603,2019/01/10 16:26:49.603
12,E,2019/01/10 16:27:41.196,2019/01/10 16:27:41.196
24,B,2019/01/10 16:27:57.948,2019/01/10 16:27:57.948
16,A,2019/01/10 16:28:58.989,2019/01/10 16:28:58.989
11,O,2019/01/10 16:29:29.896,2019/01/10 16:29:29.896
18,I,2019/01/10 16:31:23.102,2019/01/10 16:31:23.102
3,O,2019/01/10 16:34:02.619,2019/01/10 16:34:02.619
9,M,2019/01/10 16:38:24.402,2019/01/10 16:38:24.402
26,A,2019/01/10 16:40:00.000,2019/01/10 16:40:00.000
17,E,2019/01/10 16:40:24.267,2019/01/10 16:40:24.267
23,D,2019/01/10 16:40:39.539,2019/01/10 16:40:39.539
20,B,2019/01/10 16:45:59.350,2019/01/10 16:45:59.350
25,F,2019/01/10 16:47:03.813,2019/01/10 16:47:03.813
13,O,2019/01/10 16:48:16.703,2019/01/10 16:48:16.703
14,M,2019/01/10 16:48:29.253,2019/01/10 16:48:29.253
